"","Idents.obj."
"mBC-0716-1_A1,A4","L5 IT RSP"
"mBC-0716-1_A1,A6","L2/3 IT CTX c"
"mBC-0716-1_A1,A9","L6 CT CTX a"
"mBC-0716-1_A1,A11","L5 IT CTX"
"mBC-0716-1_A1,B9","L4/5 IT CTX"
"mBC-0716-1_A1,C6","L5/6 NP CTX"
"mBC-0716-1_A1,C12","Astro"
"mBC-0716-1_A1,D5","L5/6 NP CTX"
"mBC-0716-1_A1,D9","L6 IT CTX"
"mBC-0716-1_A1,D10","L2/3 IT CTX b"
"mBC-0716-1_A1,E2","Sst a"
"mBC-0716-1_A1,E11","L6 IT CTX"
"mBC-0716-1_A1,F8","Unk"
"mBC-0716-1_A1,G6","Pvalb b"
"mBC-0716-1_A1,G9","L4/5 IT CTX"
"mBC-0716-1_A1,H6","L2/3 IT CTX c"
"mBC-0716-1_A1,H11","Unk"
"mBC-0716-1_A2,B3","L2 IT RvPP"
"mBC-0716-1_A2,C2","L6 IT CTX"
"mBC-0716-1_A2,C4","L5 PT CTX"
"mBC-0716-1_A2,D3","Pvalb a"
"mBC-0716-1_A2,E5","Vip"
"mBC-0716-1_A2,E7","Lamp5"
"mBC-0716-1_A2,F1","L4 IT CTX"
"mBC-0716-1_A2,F4","L2/3 IT CTX c"
"mBC-0716-1_A2,F8","Unk"
"mBC-0716-1_A2,H9","Lamp5"
"mBC-0716-1_A3,A4","L5 PT CTX"
"mBC-0716-1_A3,C1","Meis2"
"mBC-0716-1_A3,C4","L2 IT RvPP"
"mBC-0716-1_A3,C5","L5 IT CTX"
"mBC-0716-1_A3,C6","L2/3 IT CTX c"
"mBC-0716-1_A3,C12","L4 IT CTX"
"mBC-0716-1_A3,D4","Pvalb a"
"mBC-0716-1_A3,E8","ODC"
"mBC-0716-1_A3,E11","L4/5 IT CTX"
"mBC-0716-1_A3,F3","L4/5 IT CTX"
"mBC-0716-1_A3,F6","Micro"
"mBC-0716-1_A3,F8","Unk"
"mBC-0716-1_A3,G8","L2/3 IT CTX a"
"mBC-0716-1_A3,H4","Unk"
"mBC-0716-1_A3,H6","Micro"
"mBC-0716-1_A3,H8","Astro"
"mBC-0716-1_A3,H10","L4/5 IT CTX"
"mBC-0716-1_A4,A7","L6 CT CTX b"
"mBC-0716-1_A4,A11","L5 IT CTX"
"mBC-0716-1_A4,B1","L4 IT CTX"
"mBC-0716-1_A4,C2","Astro"
"mBC-0716-1_A4,C12","L4/5 IT CTX"
"mBC-0716-1_A4,D2","Vip"
"mBC-0716-1_A4,D11","L4 IT CTX"
"mBC-0716-1_A4,E1","Pvalb a"
"mBC-0716-1_A4,F5","Astro"
"mBC-0716-1_A4,G5","L5/6 NP CTX"
"mBC-0716-1_A4,G6","Pvalb b"
"mBC-0716-1_A5,A2","L6b CTX"
"mBC-0716-1_A5,A4","Meis2"
"mBC-0716-1_A5,A6","Lamp5"
"mBC-0716-1_A5,A10","Unk"
"mBC-0716-1_A5,B11","Pvalb b"
"mBC-0716-1_A5,C2","L5/6 NP CTX"
"mBC-0716-1_A5,D2","Vip"
"mBC-0716-1_A5,D4","L2/3 IT CTX a"
"mBC-0716-1_A5,D8","Vip"
"mBC-0716-1_A5,E2","L6 CT CTX a"
"mBC-0716-1_A5,F7","ODC"
"mBC-0716-1_A5,F11","L2/3 IT CTX a"
"mBC-0716-1_A5,G7","L5 IT CTX"
"mBC-0716-1_A5,H1","Astro"
"mBC-0716-1_A6,A1","Pvalb a"
"mBC-0716-1_A6,A4","L5 PT CTX"
"mBC-0716-1_A6,A10","Meis2"
"mBC-0716-1_A6,B3","Astro"
