,louvain,cell type
"CD-0722-1_A1,A5",0,B-NK
"CD-0722-1_A1,C6",1,Unk=HSC
"CD-0722-1_A1,E3",4,HSC
"CD-0722-1_A1,H10",1,Unk=HSC
"CD-0722-1_A2,A7",1,Unk=HSC
"CD-0722-1_A2,B7",7,MEP
"CD-0722-1_A2,C12",1,Unk=HSC
"CD-0722-1_A2,D12",0,B-NK
"CD-0722-1_A2,E9",6,LMPP
"CD-0722-1_A2,G8",4,HSC
"CD-0722-1_A2,G10",3,MPP
"CD-0722-1_A3,C5",0,B-NK
"CD-0722-1_A3,D3",5,Unk=5
"CD-0722-1_A3,D10",1,Unk=HSC
"CD-0722-1_A3,D11",6,LMPP
"CD-0722-1_A3,F7",5,Unk=5
"CD-0722-1_A4,A8",1,Unk=HSC
"CD-0722-1_A4,A11",5,Unk=5
"CD-0722-1_A4,F1",0,B-NK
"CD-0722-1_A4,H1",3,MPP
"CD-0722-1_A4,H3",0,B-NK
"CD-0722-1_A5,A1",4,HSC
"CD-0722-1_A5,A7",0,B-NK
"CD-0722-1_A5,C5",4,HSC
"CD-0722-1_A5,C8",4,HSC
"CD-0722-1_A5,E1",6,LMPP
"CD-0722-1_A5,E9",1,Unk=HSC
"CD-0722-1_A5,F7",5,Unk=5
"CD-0722-1_A5,H12",6,LMPP
"CD-0722-1_A6,A1",5,Unk=5
"CD-0722-1_A6,C5",2,Unk=2
"CD-0722-1_A6,D8",5,Unk=5
"CD-0722-1_A6,G1",0,B-NK
"CD-0722-1_A6,G12",1,Unk=HSC
"CD-0722-1_A6,H12",2,Unk=2
"CD-0722-1_A7,B9",2,Unk=2
"CD-0722-1_A7,D5",2,Unk=2
"CD-0722-1_A7,E10",9,MLP
"CD-0722-1_A7,H6",4,HSC
"CD-0722-1_A8,C9",1,Unk=HSC
"CD-0722-1_A8,D1",2,Unk=2
"CD-0722-1_A8,E12",4,HSC
"CD-0722-1_A8,G8",0,B-NK
"CD-0722-1_A8,H3",0,B-NK
"CD-0722-1_A8,H5",3,MPP
"CD-0722-1_A9,C1",2,Unk=2
"CD-0722-1_A9,C2",1,Unk=HSC
"CD-0722-1_A9,C8",0,B-NK
"CD-0722-1_A9,E7",6,LMPP
"CD-0722-1_A9,F5",1,Unk=HSC
"CD-0722-1_A9,G12",7,MEP
"CD-0722-1_A10,E4",6,LMPP
"CD-0722-1_A10,E8",0,B-NK
"CD-0722-1_A10,E9",4,HSC
"CD-0722-1_A10,G1",9,MLP
"CD-0722-1_A10,G8",3,MPP
"CD-0722-1_A10,H12",6,LMPP
"CD-0722-1_A11,A11",1,Unk=HSC
"CD-0722-1_A11,B5",3,MPP
"CD-0722-1_A11,C3",8,Unk=B-NK
"CD-0722-1_A11,D12",6,LMPP
"CD-0722-1_A11,G9",6,LMPP
"CD-0722-1_A12,D6",4,HSC
"CD-0722-1_A12,D8",5,Unk=5
"CD-0722-1_A12,E3",3,MPP
"CD-0722-1_A12,H10",2,Unk=2
"CD-0722-1_A12,H12",4,HSC
"CD-0722-1_B1,A1",5,Unk=5
"CD-0722-1_B1,A9",3,MPP
"CD-0722-1_B1,D12",0,B-NK
"CD-0722-1_B1,E1",1,Unk=HSC
"CD-0722-1_B1,E10",7,MEP
"CD-0722-1_B1,E12",3,MPP
"CD-0722-1_B1,F1",5,Unk=5
"CD-0722-1_B1,F7",2,Unk=2
"CD-0722-1_B1,H1",2,Unk=2
"CD-0722-1_B2,B6",5,Unk=5
"CD-0722-1_B2,C3",5,Unk=5
"CD-0722-1_B2,C6",5,Unk=5
"CD-0722-1_B2,D1",2,Unk=2
"CD-0722-1_B2,D9",7,MEP
"CD-0722-1_B2,F3",1,Unk=HSC
"CD-0722-1_B3,A1",1,Unk=HSC
"CD-0722-1_B3,A11",8,Unk=B-NK
"CD-0722-1_B3,B12",7,MEP
"CD-0722-1_B3,E1",0,B-NK
"CD-0722-1_B3,E3",0,B-NK
"CD-0722-1_B4,D9",7,MEP
"CD-0722-1_B4,E6",2,Unk=2
"CD-0722-1_B4,F6",3,MPP
"CD-0722-1_B4,F10",6,LMPP
"CD-0722-1_B5,E9",0,B-NK
"CD-0722-1_B5,F1",8,Unk=B-NK
"CD-0722-1_B5,H12",1,Unk=HSC
"CD-0722-1_B6,E12",5,Unk=5
"CD-0722-1_B6,F5",9,MLP
"CD-0722-1_B6,G12",4,HSC
"CD-0722-1_B7,A3",6,LMPP
"CD-0722-1_B7,A7",8,Unk=B-NK
"CD-0722-1_B7,A9",5,Unk=5
"CD-0722-1_B7,D7",1,Unk=HSC
"CD-0722-1_B7,E2",2,Unk=2
"CD-0722-1_B7,E3",7,MEP
"CD-0722-1_B7,E10",3,MPP
"CD-0722-1_B7,F5",5,Unk=5
"CD-0722-1_B8,A7",3,MPP
"CD-0722-1_B8,C8",0,B-NK
"CD-0722-1_B8,D4",5,Unk=5
"CD-0722-1_B9,D2",5,Unk=5
"CD-0722-1_B9,E1",6,LMPP
"CD-0722-1_B9,E6",7,MEP
"CD-0722-1_B10,B12",3,MPP
"CD-0722-1_B10,C5",1,Unk=HSC
"CD-0722-1_B10,E4",4,HSC
"CD-0722-1_B10,G9",1,Unk=HSC
"CD-0722-1_B11,A4",5,Unk=5
"CD-0722-1_B11,B12",1,Unk=HSC
"CD-0722-1_B11,C1",2,Unk=2
"CD-0722-1_B11,D9",1,Unk=HSC
"CD-0722-1_B11,E5",0,B-NK
"CD-0722-1_B11,E6",0,B-NK
"CD-0722-1_B12,A10",2,Unk=2
"CD-0722-1_B12,C10",9,MLP
"CD-0722-1_C1,A8",1,Unk=HSC
"CD-0722-1_C1,B9",5,Unk=5
"CD-0722-1_C1,D9",4,HSC
"CD-0722-1_C1,D10",3,MPP
"CD-0722-1_C1,E7",5,Unk=5
"CD-0722-1_C1,F3",2,Unk=2
"CD-0722-1_C1,H12",0,B-NK
"CD-0722-1_C2,A12",0,B-NK
"CD-0722-1_C2,E7",0,B-NK
"CD-0722-1_C2,E10",4,HSC
"CD-0722-1_C2,F2",1,Unk=HSC
"CD-0722-1_C2,G2",2,Unk=2
"CD-0722-1_C2,G10",6,LMPP
"CD-0722-1_C3,A1",1,Unk=HSC
"CD-0722-1_C3,A5",6,LMPP
"CD-0722-1_C3,C5",5,Unk=5
"CD-0722-1_C3,F5",0,B-NK
"CD-0722-1_C3,F7",0,B-NK
"CD-0722-1_C4,A2",7,MEP
"CD-0722-1_C4,B10",2,Unk=2
"CD-0722-1_C4,E1",6,LMPP
"CD-0722-1_C4,E9",0,B-NK
"CD-0722-1_C4,G2",5,Unk=5
"CD-0722-1_C4,G3",7,MEP
"CD-0722-1_C4,H5",0,B-NK
"CD-0722-1_C5,A4",2,Unk=2
"CD-0722-1_C5,C4",2,Unk=2
"CD-0722-1_C5,C9",2,Unk=2
"CD-0722-1_C5,D3",3,MPP
